id,text,twitterUrl,retweetCount,replyCount,likeCount,quoteCount,isReply,date
1516512110955663376,Netflix lost subscribers for the first time in a decade last quarter https://t.co/A9F01Urv1N https://t.co/HVYgrexD5q,https://twitter.com/verge/status/1516512110955663376,115,46,745,127,False,2022-04-19
1516522927377850371,Netflix estimates 100 million households are sharing passwords and suggests a crackdown is coming https://t.co/fHloIcBWNM,https://twitter.com/CNBC/status/1516522927377850371,374,527,1240,391,False,2022-04-19
1516549857523163139,$NFLX said it plans to launch a lower-priced adv-supported streaming service after years of resisting such a move after showing negative subs growth for the first time in a decade and forecasting a further decline in 2Q. $NFLX -25% AH. https://t.co/zWJ19gDBPs,https://twitter.com/garyblack00/status/1516549857523163139,25,59,340,6,False,2022-04-19
1516537035758133254,"A Netflix acaba de divulgar um relatório histórico. Pela primeira vez uma década, a gigante de streaming perdeu assinantes.

Nesse primeiro trimestre de 2022, a Netflix registrou uma perda de 200 mil assinantes.

Porém, isso não é tão catastrófico como parece.

Segue o fio 🧶 https://t.co/2oONvnzW0P",https://twitter.com/MichelArouca/status/1516537035758133254,17,8,186,8,False,2022-04-19
1516520625875079181,Netflix perde 200 mil assinantes no primeiro trimestre de 2022 e prevê mais 2 milhões de cancelamentos https://t.co/bFoLshIGbR https://t.co/AomrJ6vAd8,https://twitter.com/Nerdbunker/status/1516520625875079181,9,28,409,36,False,2022-04-19
1516535357449412609,"#Netflix is down 26% after hours and 63% below last year's high, after losing subscribers for the first quarter ever, and projecting an even larger subscriber loss this quarter. Why is this a surprise? Customers have more choices and less discretionary income to split among them.",https://twitter.com/PeterSchiff/status/1516535357449412609,151,239,1564,30,False,2022-04-19
1516510930435461120,"Netflix lost 200K subscribers in 2022 Q1.

The is the first time the platform posted a subscriber loss in more than a decade. https://t.co/TuWUbWSQTQ",https://twitter.com/FilmUpdates/status/1516510930435461120,261,155,4630,1767,False,2022-04-19
1516510832556924936,"*NETFLIX SHARES PLUNGE 20% AFTER HORRENDOUS EARNINGS, AWFUL GUIDANCE 

$NFLX https://t.co/5eTrhMRmNw",https://twitter.com/Investingcom/status/1516510832556924936,142,55,719,58,False,2022-04-19
1516520776140308484,"$NFLX NETFLIX LOST 700,000 SUBSCRIBERS DUE TO THE RUSSIA CONFLICT WITHOUT THAT THEY WOULD HAVE GAINED 500,000 SUBSCRIBERS IN Q1 BUT STILL WAY LOWER THAN THE 2.5 MILLION EXPECTED. https://t.co/PciYjQIMbO",https://twitter.com/gurgavin/status/1516520776140308484,8,12,61,3,False,2022-04-19
1516510046666072065,"Netflix Monkeyhammered 20% Lower On Catastrophic Earnings, Sees Loss Of 2 Million Subs In Q2 https://t.co/mJyv9NtiHN",https://twitter.com/zerohedge/status/1516510046666072065,43,26,202,16,False,2022-04-19
1516510004769083398,"Breaking: Netflix lost 200,000 global subscribers in the first quarter and expects to lose 2 million more this spring. Shares fell 17% after hours. https://t.co/91Q5iNj4L2",https://twitter.com/WSJ/status/1516510004769083398,249,134,668,373,False,2022-04-19
1516537177752100867,"Netflix lost subscribers in the first quarter, its first such loss in a decade, amid increased competition. The company announced that its second quarter would also see a loss of subscribers. Its stock fell more than 20%. https://t.co/FAlXUMWw0N",https://twitter.com/nytimes/status/1516537177752100867,61,66,255,51,False,2022-04-19
1516520158440919044,"BREAKING REPORT: Go Woke, Go Broke – Netflix lost 200,000 global subscribers and could lose 2.5 MILLION this spring..",https://twitter.com/ChuckCallesto/status/1516520158440919044,1660,252,7736,111,False,2022-04-19
1516519938126716930,"Netflix, 10 yıldan uzun süredir ilk defa 2022 yılının ilk çeyreğinde 200 bin abone kaybetti.",https://twitter.com/webtekno/status/1516519938126716930,79,155,6513,119,False,2022-04-19
1516510314761707524,#INFO Netflix a perdu 200 000 abonnés à sa plateforme au premier trimestre et s'attend à en perdre 2 millions supplémentaires au deuxième trimestre https://t.co/3yU1g5qh4z,https://twitter.com/lnfosSeriesFR/status/1516510314761707524,35,16,327,38,False,2022-04-19
1516511950804561924,"Netflix, 2022'nin ilk çeyreğinde 200 bin abone kaybetti. Platform, 10 yılı aşkın süredir ilk kez abone kaybı bildirdi.

Platformun yılın 2. çeyreğinde ise 2 milyon abone daha kaybedeceği tahmin ediliyor. https://t.co/ai3Pm5Z9PD",https://twitter.com/popgek/status/1516511950804561924,6,16,330,49,False,2022-04-19
1516518268063920140,"Netflix lost 200,000 subscribers in the first quarter after it was expected to add 2.5 million. The company's stock sank in after-hours trading. https://t.co/ZhtjKKSVc7",https://twitter.com/CNN/status/1516518268063920140,189,332,926,177,False,2022-04-19
1516528668486553607,"EM QUEDA | Netflix perde assinantes pela primeira vez em dez anos anos e ações despencam. Gigante do streaming registra queda de 200 mil clientes no trimestre e prevê piora nos próximos meses. Leia: https://t.co/WIX8OXB8Yj 

📷 Chris Delmas/AFP https://t.co/DawhR9af5L",https://twitter.com/folha/status/1516528668486553607,51,155,674,73,False,2022-04-19
1516507816504311809,Netflix drops 19% after forecasting a big drop in subscribers https://t.co/4S9G0uckZp https://t.co/XrfAEAvfk3,https://twitter.com/markets/status/1516507816504311809,327,96,1246,519,False,2022-04-19
1516520168746196993,Netflix is going to need to find new areas for growth like gaming and theaters. Of course merch. But it seems like the crazy sub growth is over. $nflx,https://twitter.com/GerberKawasaki/status/1516520168746196993,23,132,486,12,False,2022-04-19
1516516112137134083,"Netflix a perdu 200 000 abonnés au premier trimestre 2022.

Cela faisait 10 ans que la plateforme n’avait pas connu un trimestre déficitaire en abonnés. https://t.co/gDTS5iQBdH",https://twitter.com/viewsfrance/status/1516516112137134083,25,11,367,46,False,2022-04-19
1516507521506332673,"Netflix’s first quarter revenue:

2022: $7.9 billion
2021: $7.2 billion
2020: $5.8 billion
2019: $4.5 billion
2018: $3.7 billion
2017: $2.6 billion
2016: $1.9 billion
2015: $1.6 billion
2014: $1.3 billion
2013: $1.0 billion
2012: $870 million
2011: $719 million
2010: $494 million",https://twitter.com/JonErlichman/status/1516507521506332673,50,5,328,2,False,2022-04-19
1516557288349310976,"Netflix loses 200,000 subscribers in the last 3 months and expects 2 million more to leave soon. https://t.co/Nb8sbKvg3R https://t.co/L4ZkagJ9rG",https://twitter.com/GameSpot/status/1516557288349310976,30,40,276,28,False,2022-04-19
1516527054778515457,"Netflix perdió 200,00 suscriptores en el primer trimestre del año y quedó en 221,6 millones a nivel global. El pronóstico era añadir 2,5 millones",https://twitter.com/gfrias/status/1516527054778515457,63,34,295,12,False,2022-04-19
1516510905474990081,"PERDEU TUDO!

Netflix perdeu 200mil assinantes somente neste primeiro trimestre de 2022.

Segundo a @Variety, a plataforma ainda deve perder mais 2 MILHÕES de assinantes no próximo trimestre, devido ao aumento de preço no mundo todo. https://t.co/9iNTEUsnUJ",https://twitter.com/GNGeekNation/status/1516510905474990081,10,28,351,43,False,2022-04-19
1516525688593035265,"Netflix’s video streaming service suffered its first loss in worldwide subscribers, leading to a massive sell-off of its shares.
The company reported it lost 200,000 subscribers from January to March.

https://t.co/moNqdPhve3",https://twitter.com/AP/status/1516525688593035265,87,73,252,108,False,2022-04-19
1516508649119748098,"Netflix lost 200,000 customers in the first quarter, according to a statement Tuesday, the first time it has shed subscribers since 2011. 

Netflix projects it will lose another 2 million customers in the current second quarter, setting up its worst year ever as a public company.",https://twitter.com/BChappatta/status/1516508649119748098,77,46,206,63,False,2022-04-19
1516511640811843585,Netflix Shares Crater 20% After Company Reports it Lost Subscribers For the First Time in More Than 10 Years https://t.co/rH2AklZJsl,https://twitter.com/slashdot/status/1516511640811843585,1153,718,10300,364,False,2022-04-19
1516510700880863236,"Notable quotable from the Netflix shareholder letter: “The big COVID boost to streaming obscured the picture until recently.” Revenue headwinds coming from a saturating market (esp in North America), greater competition, the “large number” of households sharing accounts. $NFLX",https://twitter.com/elainelow/status/1516510700880863236,2,1,4,0,True,2022-04-19
1516546828489134082,"Netflix seems to think that because they were on top of the streaming hierarchy for a long time that means they're untouchable. when in reality, since the pandemic the streaming market has become SO much more competitive and everyone is stepping up their game except Netflix",https://twitter.com/MitchellLegend_/status/1516546828489134082,0,1,1,0,False,2022-04-19
1516559002699583489,"This was obvious for years that once they hit the top of the market, they will go after the AD business. 

The TV AD business is still roughly the same while the amount of subscribers is 2/3 what it used to be. It only makes sense to move it to streaming.

https://t.co/57SqHrL6eT https://t.co/oKWkp4ngl2",https://twitter.com/synopsi/status/1516559002699583489,0,0,3,0,False,2022-04-19
1516511349165096960,"Netflix isn't growing as fast as it wants. Why? 
1. Slow pace of growth of addressable market
2. Password sharing
3. Competition from new streaming services
4. Political/economic challenges",https://twitter.com/natjarv/status/1516511349165096960,2,0,6,2,False,2022-04-19
1516525802812289050,"Netflix’s goal was to basically monopoly/market power over streaming. That seems less &amp; less likely. I’m wondering if now it’d be in their best interest not to play their own huge catalogue of bad movies, but push for a new fin syn rules that’d hurt Disney, WB, etc. more?",https://twitter.com/WildBillWellman/status/1516525802812289050,1,0,0,0,False,2022-04-19
1516531575097380876,"VOCE q comprou 100.000 de netflix em dezembro a 69 com dolar a 5,80, HOJE esta com  27.000  menos as taxas.....

mas é um prejuizo prudente e sofisticado.

daí, nao dói.",https://twitter.com/ManfroiRenato/status/1516531575097380876,12,10,362,1,False,2022-04-19
1516522903159787520,"We are living through such a fascinating age of media transformation, where the big studios are bullishly spending to capture our attention--and the market share--using streaming.

Netflix announced its first loss of subscribers in a DECADE, signaling the rise of competition.",https://twitter.com/RulingSports/status/1516522903159787520,0,2,4,0,False,2022-04-19
